id;created_by;created_date_time;modified_by;modified_date_time;version;category;migrated;migrated_by
1;Computers;2019-06-22T11:04:10;Granite;2019-06-23T05:12:09;93660;Generic Wooden Bike;S;Borders
2;Congolese Franc;2019-06-23T01:12:46;Vista UAE Dirham Automotive;2019-06-23T02:59:41;63911;COM Fork Borders;o;Music
3;Metal;2019-06-22T12:11:39;feed;2019-06-23T06:51:09;96991;Handmade;T;Qatari Ria
4;Representative whiteboard Health;2019-06-23T04:53:25;transmitting COM;2019-06-22T16:18:20;3038;Data;D;whiteboard
5;Chips Checking Account;2019-06-23T03:06:54;AI Facilitator transmit;2019-06-23T08:34:41;56701;bandwidth;w;solid stat
6;help-desk SAS embrace;2019-06-23T03:37:30;deposit firmware;2019-06-22T19:37:30;36646;mesh Iceland Krona;J;deploy Adv
7;New Mexico;2019-06-23T06:42:26;payment connect Berkshire;2019-06-22T21:43:59;86333;Suriname Unions Jewelery;F;Illinois K
8;unleash Slovenia;2019-06-22T16:49:30;capacitor Andorra overriding;2019-06-23T00:24:33;756;deposit Principal Profound;s;Rustic
9;Money Market Account Fiji;2019-06-22T18:40:03;Data;2019-06-22T21:58:32;53916;archive Credit Card Account;m;Computer D
10;haptic;2019-06-23T06:19:11;attitude-oriented multi-byte white;2019-06-22T12:43:26;96292;Avon neural;i;Solutions
