id;created_by;created_date_time;modified_by;modified_date_time;version;additional_details;delivery_channel_type;delivery_channel_id;virtual_delivery_details
1;Rubber Legacy;2019-06-22T14:50:46;installation;2019-06-22T11:52:58;39866;Metal leading-edge Sleek Steel Hat;Versatile;7996;parse Cotton
2;task-force Cambridgeshire;2019-06-23T00:12:06;Refined;2019-06-22T19:22:12;33;Kids;withdrawal Shirt;6134;digital Ferry
3;Cambridgeshire;2019-06-22T16:38:52;Credit Card Account;2019-06-23T03:36:48;98367;Devolved Steel;virtual;26538;Chicken
4;Generic Granite Tuna Manager open-source;2019-06-22T19:59:05;circuit;2019-06-22T19:46:35;65572;navigating panel;AI Ports pink;36775;supply-chains hacking
5;drive Supervisor Inverse;2019-06-23T07:32:19;synergies open-source;2019-06-22T20:46:42;76028;Concrete Nepal pink;overriding;62929;indigo Tasty Steel Shoes transform
6;Niger;2019-06-22T23:50:41;compressing Rustic;2019-06-22T23:01:56;12719;FTP;alarm;47601;maximize exploit Key
7;Interactions Frozen Licensed;2019-06-22T18:56:29;Quality;2019-06-22T15:20:12;43760;Extended;Program Triple-buffered online;82513;Borders e-enable
8;deposit Personal Loan Account;2019-06-23T09:09:00;Cambridgeshire Computer;2019-06-22T17:03:06;98827;bandwidth Small Steel Computer;alarm Licensed Steel Computer Books;95650;interface web-enabled
9;Director;2019-06-22T11:27:07;Branding digital e-business;2019-06-23T00:51:31;9839;invoice bypass;synergies;8261;Cambridgeshire
10;regional compress Personal Loan Account;2019-06-23T01:35:00;red Concrete Money Market Account;2019-06-22T16:09:31;6925;Operations Camp;Director back-end holistic;97997;Investment Account
