id;created_by;created_date_time;modified_by;modified_date_time;version;closes;day_of_week;opens;valid_from;valid_to
1;empowering;2019-06-22T21:28:48;Electronics deposit robust;2019-06-23T04:38:43;94078;12:24:06;Incredible Metal Chicken input world-class;21:34:21;2019-06-23T04:57:07;2019-06-23T04:46:14
2;Program embrace;2019-06-22T22:36:38;Afghanistan Massachusetts Sleek Plastic Car;2019-06-22T18:22:35;97307;22:57:52;Home;21:49:06;2019-06-22T18:13:37;2019-06-23T07:08:40
3;contingency alarm payment;2019-06-23T01:44:55;index Money Market Account National;2019-06-22T16:05:55;71262;09:45:50;Cotton;23:32:26;2019-06-22T12:05:41;2019-06-23T06:26:22
4;index Montenegro Tuna;2019-06-23T02:35:41;relationships;2019-06-22T17:38:22;70932;23:35:27;Borders web-enabled Checking Account;14:45:14;2019-06-23T04:36:50;2019-06-22T20:33:34
5;Soft Colorado haptic;2019-06-22T18:43:39;Pants Representative;2019-06-23T00:57:35;82750;07:20:19;Practical solid state Metal;21:32:17;2019-06-22T15:03:03;2019-06-23T03:27:39
6;Jewelery;2019-06-23T10:29:08;Plastic;2019-06-23T06:36:35;33561;06:10:37;input Kwacha experiences;20:37:37;2019-06-23T07:49:06;2019-06-22T23:34:16
7;scale Regional Books;2019-06-22T16:57:33;Steel wireless Personal Loan Account;2019-06-22T15:29:34;43766;09:19:20;Buckinghamshire hard drive Venezuela;23:45:16;2019-06-22T15:01:41;2019-06-23T08:53:14
8;Data;2019-06-22T18:35:08;Markets Customer-focused;2019-06-22T14:37:38;86529;01:19:59;quantifying Buckinghamshire Gorgeous Plastic Soap;02:49:51;2019-06-23T11:26:22;2019-06-23T05:47:27
9;Car salmon Home;2019-06-23T02:21:18;pink;2019-06-23T01:51:05;62129;23:53:45;Seamless;20:49:26;2019-06-22T19:16:50;2019-06-22T19:28:13
10;Small Concrete Pants;2019-06-23T02:34:36;Technician wireless alarm;2019-06-23T08:56:33;19899;23:57:56;definition;00:26:19;2019-06-23T07:25:35;2019-06-23T09:15:22
