id;created_by;created_date_time;modified_by;modified_date_time;version;context;service_description;migrated;migrated_by
1;RAM Trail;2019-06-22T12:04:20;Tools Credit Card Account;2019-06-22T20:56:14;44203;withdrawal Practical Soft Shirt;alarm Frozen purple;F;Moldova Co
2;B2C Wooden whiteboard;2019-06-23T07:49:39;pixel;2019-06-23T06:43:10;69819;salmon;Money Market Account;A;Malawi
3;Mexican Peso Mexican Unidad de Inversion (UDI);2019-06-22T21:30:18;Shirt Gloves GB;2019-06-22T22:19:51;15144;portals Home Loan Account Sleek;pricing structure Passage Buckinghamshire;I;bluetooth 
4;virtual coherent;2019-06-22T13:09:01;Plastic JBOD Director;2019-06-23T07:28:47;39413;Checking Account redundant Motorway;Wyoming Solutions;C;Garden Fac
5;Jewelery;2019-06-23T06:17:27;Connecticut;2019-06-23T03:17:40;43985;deposit transform;Rubber;C;override D
6;Intelligent Fresh Table overriding Indiana;2019-06-23T03:15:25;primary Cuba;2019-06-22T15:54:33;93537;Spurs Pine;communities;E;Investment
7;Electronics backing up;2019-06-22T15:56:06;1080p incremental;2019-06-22T15:38:16;22677;withdrawal Generic;Games Concrete;w;Applicatio
8;overriding;2019-06-23T08:14:36;Avon Small Steel Towels;2019-06-22T21:57:31;52044;Facilitator salmon;Research;D;Licensed C
9;throughput;2019-06-22T21:35:25;Green Cliff Directives;2019-06-22T12:06:53;12694;Soft Palestinian Territory De-engineered;Tasty Metal Chicken capacitor;F;Awesome an
10;Games Azerbaijanian Manat withdrawal;2019-06-23T01:52:21;Berkshire systems Toys;2019-06-23T03:40:57;2221;Executive;Usability;R;target
