id;created_by;created_date_time;modified_by;modified_date_time;version;service_event_sequence
1;Computer;2019-06-23T10:30:28;Auto Loan Account;2019-06-23T06:44:40;67754;58769
2;Granite synergy;2019-06-22T16:58:20;solutions;2019-06-22T20:39:56;34993;64745
3;parsing customer loyalty Tala;2019-06-22T12:39:10;program Berkshire withdrawal;2019-06-22T17:58:45;97822;61227
4;Jewelery;2019-06-23T07:03:24;1080p full-range;2019-06-22T18:10:26;57835;37212
5;Singapore Refined Wooden Car Quality;2019-06-22T14:22:05;withdrawal;2019-06-23T00:42:00;54858;67576
6;Home Loan Account Wyoming;2019-06-23T10:18:40;payment;2019-06-22T17:16:39;39600;99408
7;Games;2019-06-22T18:12:26;Utah e-business Frozen;2019-06-23T01:54:48;20831;35437
8;moratorium sensor;2019-06-22T18:54:51;Louisiana Intranet;2019-06-23T03:20:05;57559;24380
9;withdrawal;2019-06-23T06:57:35;local area network Down-sized;2019-06-23T10:04:18;74227;82749
10;Grass-roots;2019-06-23T00:22:43;Awesome Metal Ball open system quantify;2019-06-23T01:50:01;79624;19575
