id;created_by;created_date_time;modified_by;modified_date_time;version;migrated;migrated_by
1;Investment Account Springs Hollow;2019-06-22T17:18:01;Savings Account deposit;2019-06-23T00:55:29;93806;L;Trinidad a
2;efficient moratorium invoice;2019-06-23T03:11:18;Bacon Credit Card Account;2019-06-22T16:11:11;55193;C;Profound k
3;Ohio Guinea;2019-06-22T17:30:29;microchip turquoise Squares;2019-06-23T00:23:28;18015;S;magenta we
4;Metical;2019-06-23T04:08:42;Handmade Rubber Pants Cloned aggregate;2019-06-23T09:47:51;54549;o;Intelligen
5;target;2019-06-23T05:50:18;virtual;2019-06-23T03:30:12;92605;T;Hawaii mon
6;SQL Belarus;2019-06-22T22:54:07;lime Gloves Investor;2019-06-23T03:51:48;20126;L;Optimizati
7;New Jersey Vermont Small Plastic Ball;2019-06-22T23:45:03;white USB;2019-06-23T09:38:27;91920;i;Investment
8;Customer Iowa index;2019-06-22T16:14:54;bricks-and-clicks;2019-06-23T01:19:22;79630;c;Money Mark
9;Refined Soft Shirt Cape Tools;2019-06-23T10:13:52;brand Pennsylvania Island;2019-06-22T20:52:14;63474;o;Concrete M
10;back up Berkshire;2019-06-23T06:32:48;Designer;2019-06-22T18:34:07;39577;I;Malaysia p
